iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt,bloc_eu15
DNK,Denmark,2009,103.5494124226,150.1816727279,279666951317.258,EU,0.3105056659595781,46.63226030530001,EU15
DNK,Denmark,2010,98.5694894436,141.2779519289,284093791186.593,EU,0.30230097408825396,42.70846248529999,EU15
DNK,Denmark,2011,109.2624491703,153.9966903011,287817703286.122,EU,0.2904883283097445,44.73424113079999,EU15
DNK,Denmark,2012,104.1902219608,149.0088833155,287802068160.374,EU,0.3007784526497282,44.818661354699984,EU15
DNK,Denmark,2013,106.0759401222,153.0582743799,291810211099.295,EU,0.3069571667918259,46.98233425770002,EU15
DNK,Denmark,2014,106.89741029199999,142.962324218,295539545106.694,EU,0.2522686597554572,36.064913926,EU15
DNK,Denmark,2015,109.3598998094,144.46753147569999,301758922337.637,EU,0.24301399288604322,35.10763166629998,EU15
DNK,Denmark,2016,112.55908723639999,143.4667739439,311032111297.516,EU,0.21543445815256068,30.907686707500005,EU15
DNK,Denmark,2017,119.3265728461,151.9530687926,320538736986.013,EU,0.2147142943919858,32.626495946499986,EU15
DNK,Denmark,2018,118.4192858095,150.23436605790002,326500781502.599,EU,0.21176965752388874,31.815080248400022,EU15
DNK,Denmark,2019,120.34650029369999,149.06705963119998,332088518944.146,EU,0.19266871841811475,28.720559337499992,EU15
DNK,Denmark,2020,113.65951546080001,141.7864488152,326176991232.295,EU,0.198375328456528,28.126933354399995,EU15
DNK,Denmark,2021,113.9994662816,150.74884322999998,347379325644.417,EU,0.24377883213558632,36.749376948399984,EU15
DNK,Denmark,2022,117.96817873260001,151.8004168464,348921108389.075,EU,0.22287315685063833,33.83223811379999,EU15
DNK,Denmark,2023,121.5409359984,156.0178376236,351030642724,EU,0.22098051191029236,34.4769016252,EU15
DNK,Denmark,2024,125.14528187469999,158.7327567904,363238912546.89,EU,0.21159762858557843,33.587474915700014,EU15
ESP,Spain,1994,554.761457937,626.1650894757,781584842222.945,EU,0.11403323618454617,71.40363153869998,EU15
ESP,Spain,1995,579.0541162764,650.1121723427,803136997375.095,EU,0.10930122383378855,71.05805606629997,EU15
ESP,Spain,1996,555.0878603843,629.8891650871001,824078081163.909,EU,0.11875312173762609,74.80130470280005,EU15
ESP,Spain,1997,599.3666032446,654.5027822079,853640231891.445,EU,0.08424132098767192,55.13617896330004,EU15
ESP,Spain,1998,687.237686331,740.2884347316999,890363642200.019,EU,0.07166226826159582,53.050748400699945,EU15
ESP,Spain,1999,736.5870676155,801.7954815547,929618577227.575,EU,0.08132798879429873,65.2084139392,EU15
