iso3,year,bloc,tapio,regime_viterbi
IRL,1999,EU,END,2
IRL,2000,EU,SD,2
IRL,2001,EU,EC,2
IRL,2002,EU,WD,2
IRL,2003,EU,WD,2
IRL,2004,EU,WD,2
IRL,2005,EU,END,2
IRL,2006,EU,END,2
IRL,2007,EU,SD,2
IRL,2008,EU,RND,1
IRL,2009,EU,RND,1
IRL,2010,EU,SD,1
IRL,2011,EU,SD,1
IRL,2012,EU,RND,1
IRL,2013,EU,SD,2
IRL,2014,EU,WD,2
IRL,2015,EU,WD,2
IRL,2016,EU,END,2
IRL,2017,EU,SD,2
IRL,2018,EU,SD,2
IRL,2019,EU,END,2
IRL,2020,EU,SD,2
IRL,2021,EU,SD,2
IRL,2022,EU,WD,2
IRL,2023,EU,SND,2
IRL,2024,EU,END,2
ITA,1995,EU,EC,2
ITA,1996,EU,SD,2
ITA,1997,EU,END,2
ITA,1998,EU,END,2
ITA,1999,EU,END,2
ITA,2000,EU,SD,2
ITA,2001,EU,SD,2
ITA,2002,EU,END,2
ITA,2003,EU,END,2
ITA,2004,EU,EC,2
ITA,2005,EU,SD,2
ITA,2006,EU,END,2
ITA,2007,EU,SD,2
ITA,2008,EU,RC,1
ITA,2009,EU,RND,1
ITA,2010,EU,END,1
ITA,2011,EU,END,1
ITA,2012,EU,RND,1
ITA,2013,EU,RC,1
ITA,2014,EU,RND,1
ITA,2015,EU,SD,1
ITA,2016,EU,END,1
ITA,2017,EU,END,1
ITA,2018,EU,END,1
ITA,2019,EU,SD,1
ITA,2020,EU,RC,1
ITA,2021,EU,END,1
ITA,2022,EU,SD,1
ITA,2023,EU,END,1
ITA,2024,EU,END,1
LTU,1995,EU,EC,2
LTU,1996,EU,END,2
LTU,1997,EU,END,2
LTU,1998,EU,WD,2
LTU,1999,EU,SND,2
LTU,2000,EU,SD,2
LTU,2001,EU,SD,2
LTU,2002,EU,EC,2
LTU,2003,EU,WD,2
LTU,2004,EU,WD,2
LTU,2005,EU,WD,2
LTU,2006,EU,EC,2
LTU,2007,EU,END,2
LTU,2008,EU,SD,2
LTU,2009,EU,RND,2
LTU,2010,EU,SD,2
LTU,2011,EU,END,2
LTU,2012,EU,SD,2
LTU,2013,EU,WD,2
LTU,2014,EU,SD,2
LTU,2015,EU,WD,2
LTU,2016,EU,EC,2
LTU,2017,EU,END,2
LTU,2018,EU,WD,2
LTU,2019,EU,END,2
LTU,2020,EU,SD,2
LTU,2021,EU,EC,2
LTU,2022,EU,SD,2
LTU,2023,EU,END,2
LTU,2024,EU,EC,2
LUX,1995,EU,END,2
LUX,1996,EU,SD,2
LUX,1997,EU,WD,2
LUX,1998,EU,END,2
LUX,1999,EU,END,2
LUX,2000,EU,SD,2
LUX,2001,EU,SD,2
LUX,2002,EU,END,2
LUX,2003,EU,END,2
LUX,2004,EU,END,2
LUX,2005,EU,SD,2
LUX,2006,EU,SD,2
LUX,2007,EU,END,2
LUX,2008,EU,RND,1
LUX,2009,EU,SND,1
LUX,2010,EU,SD,1
LUX,2011,EU,SD,1
LUX,2012,EU,SD,1
LUX,2013,EU,END,1
LUX,2014,EU,SD,1
LUX,2015,EU,END,1
LUX,2016,EU,SD,1
LUX,2017,EU,SD,1
LUX,2018,EU,END,1
LUX,2019,EU,END,1
LUX,2020,EU,RND,1
LUX,2021,EU,END,1
LUX,2022,EU,RND,1
LUX,2023,EU,END,1
LUX,2024,EU,END,1
LVA,1995,EU,RND,2
LVA,1996,EU,END,2
LVA,1997,EU,WD,2
LVA,1998,EU,WD,2
LVA,1999,EU,END,2
LVA,2000,EU,SD,2
LVA,2001,EU,SD,2
LVA,2002,EU,END,2
LVA,2003,EU,END,2
LVA,2004,EU,SD,2
LVA,2005,EU,END,2
LVA,2006,EU,SD,2
LVA,2007,EU,END,2
LVA,2008,EU,RND,1
LVA,2009,EU,RND,1
LVA,2010,EU,SND,2
LVA,2011,EU,END,2
LVA,2012,EU,WD,2
LVA,2013,EU,SD,2
LVA,2014,EU,WD,2
LVA,2015,EU,SD,2
LVA,2016,EU,SD,2
LVA,2017,EU,END,2
LVA,2018,EU,EC,2
LVA,2019,EU,END,2
LVA,2020,EU,RC,2
LVA,2021,EU,WD,2
LVA,2022,EU,SD,2
LVA,2023,EU,SND,2
LVA,2024,EU,SND,2
