iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt,g_mf,g_gdp,elasticity,tapio,regime_viterbi,p_regime1,p_regime2,p_regime3
BGR,Bulgaria,2011,133.203733079,89.56678697689999,48537973523.4502,EU,-0.4872000835907436,-43.6369461021,0.05581392264948152,0.02090175077586016,2.6702989260565726,END,1,0.6016459784263187,0.37928072931716955,0.019073292256511692
BGR,Bulgaria,2012,122.7490030206,86.1941980343,48901433349.8318,EU,-0.4240982086955949,-36.5548049863,-0.03765445938648897,0.00748815411928972,-5.028536911318352,SD,1,0.668152309162754,0.33184769083724597,0
BGR,Bulgaria,2013,122.3898696939,85.1722322501,48636020141.1525,EU,-0.43696914429240313,-37.217637443800015,-0.01185654959969958,-0.00542751388861322,2.1845268097009014,RND,1,0.2812377792199142,0.05671419048450028,0.6620480302955855
BGR,Bulgaria,2014,133.2170994468,91.7145603591,49097794392.256,EU,-0.45251854149658016,-41.5025390877,0.07681292289943861,0.00949449090948086,8.090262409197313,END,1,0.5875674664302981,0.28506468894493486,0.12736784462476694
BGR,Bulgaria,2015,150.83670387799998,95.8582789152,50765918159.1476,EU,-0.573538619563951,-54.97842496279999,0.04518059662365109,0.0339755336780405,1.3297979967523743,END,1,0.7311508437322044,0.24567031983216356,0.023178836435632046
BGR,Bulgaria,2016,127.8237801884,86.1357923257,52302413861.9149,EU,-0.4839798501541353,-41.6879878627,-0.10142563271035672,0.03026628412295227,-3.351109515073941,SD,1,0.7906878883674076,0.20931211163259236,0
BGR,Bulgaria,2017,131.7000570876,89.9683390238,53738599840.5621,EU,-0.46384893304254937,-41.73171806379999,0.04449424094931674,0.02745926760548599,1.6203724581651764,END,1,0.8230191853959292,0.15088958152239698,0.026091233081673753
BGR,Bulgaria,2018,135.9179968764,92.8725844746,54990790971.5665,EU,-0.463488904129427,-43.04541240179999,0.03228074989838062,0.0233015213407037,1.3853494553590269,END,1,0.8586439985355383,0.11413539579997332,0.027220605664488407
BGR,Bulgaria,2019,133.0417913589,91.0794940247,57076766353.313,EU,-0.4607216781729174,-41.96229733419999,-0.01930699420118328,0.03793317653541443,-0.5089738314733084,SD,1,0.8686485545099334,0.1313514454900666,0
BGR,Bulgaria,2020,121.5916592258,86.33714407449999,55288418257.0389,EU,-0.4083354334824767,-35.2545151513,-0.0520682509381741,-0.03133233030764184,1.661805886345927,RND,3,0.29137695978705463,0.022706863390582012,0.6859161768223634
BGR,Bulgaria,2021,138.6451525522,103.694778606,59616490915.7479,EU,-0.33705047077633365,-34.95037394619999,0.2010448077425653,0.07828172328221711,2.568221537711546,END,2,0.5875674664302982,0.2850646889449348,0.1273678446247669
BGR,Bulgaria,2022,142.49869234079998,103.5356438947,62051147380.8758,EU,-0.3763249735108326,-38.963048446099975,-0.00153464536439822,0.04083864091512263,-0.03757826729806634,SD,2,0.7234665340725985,0.2765334659274015,0
BGR,Bulgaria,2023,145.88620710299998,108.0613800981,63094544094.4155,EU,-0.3500309451032546,-37.82482700489997,0.0437118661086694,0.01681510749729136,2.599559123586374,END,2,0.7713529463303228,0.20419373609451208,0.024453317575164973
BGR,Bulgaria,2024,149.0972195425,109.9354436851,65231613490.8247,EU,-0.35622520403497276,-39.1617758574,0.01734258423591006,0.03387090638473057,0.512020081155204,WD,2,0,1,0
BRA,Brazil,1995,2218.731182508,1953.7997098966,1066858717573.94,MERCOSUR,-0.1355980714243329,-264.93147261140007,0.05103299942012136,0.04223793633646899,1.208226628630494,END,2,0,1,0
BRA,Brazil,1996,2221.882328023,1970.7807107273,1090424176256.21,MERCOSUR,-0.12741225643670576,-251.10161729569995,0.00869127001334165,0.02208864050514428,0.39347238284391106,WD,2,0,1,0
BRA,Brazil,1997,2317.6308146697997,2051.7188322097,1127442397626.76,MERCOSUR,-0.1296044946732359,-265.9119824600998,0.04106906518916073,0.03394845985316095,1.2097475221791771,END,2,0.26004295415255635,0.7399570458474437,1.6477018930074916e-21
BRA,Brazil,1998,2372.9286956167,2110.9359791908,1131254256718.86,MERCOSUR,-0.12411210904005328,-261.9927164259002,0.02886221350189746,0.00338097901952593,8.53664377543057,END,2,0.33306620895343686,0.656374975111728,0.01055881593483514
BRA,Brazil,1999,2374.6275738825,2039.8990897326,1136547820360.71,MERCOSUR,-0.16409070715050814,-334.72848414990017,-0.03365184456490767,0.00467937566679619,-7.191524459917511,SD,2,0.3917544466649588,0.6082455533350412,0
BRA,Brazil,2000,2408.2584426820004,2050.4049597825,1186418964121.03,MERCOSUR,-0.17452819804798955,-357.85348289950025,0.00515019105738079,0.04387949443648777,0.1173712487694066,WD,2,0,1,0
