iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt
LVA,Latvia,2015,27.0042736266,34.8103380854,26344565876.8902,EU,0.22424558013913642,7.806064458799998
LVA,Latvia,2016,25.7017599612,33.4919092787,27016796481.3321,EU,0.23259794634802547,7.790149317499999
LVA,Latvia,2017,26.3950806466,37.3352396291,27935083541.205,EU,0.29302501045079604,10.940158982500002
LVA,Latvia,2018,28.1382420285,39.1532508397,29139005429.8548,EU,0.2813306321944326,11.015008811200001
LVA,Latvia,2019,29.4435448972,41.9614692516,29335802338.5259,EU,0.2983194959009375,12.517924354400002
LVA,Latvia,2020,30.2798349057,40.6762909828,28318076614.1623,EU,0.2555900704293847,10.396456077099998
LVA,Latvia,2021,30.212742388099997,42.4398207517,30284070900.4111,EU,0.2881039115394997,12.2270783636
LVA,Latvia,2022,31.3567617853,41.472412229099994,30862052747.7596,EU,0.243912757905655,10.115650443799993
LVA,Latvia,2023,32.3615716315,44.2498856628,30571453786.1231,EU,0.2686631581806384,11.888314031299998
LVA,Latvia,2024,33.3776244928,45.635899359,30557357896.8573,EU,0.2686103492728144,12.258274866199997
MLT,Malta,1994,5.727754980399999,6.2363339583999995,4378437387.41224,EU,0.0815509530747583,0.5085789780000001
MLT,Malta,1995,5.0599336608,6.5071490480000005,4656139454.16571,EU,0.22240390938099205,1.4472153872000009
MLT,Malta,1996,5.6150385732000005,6.5190111002,4832017470.45867,EU,0.13866712498346048,0.9039725269999996
MLT,Malta,1997,5.5786333957,6.2344353931,5086035706.66143,EU,0.10519027883837134,0.6558019974000002
MLT,Malta,1998,6.2516021969999995,7.4827879582,5346725602.26102,EU,0.1645357008748067,1.2311857612000008
MLT,Malta,1999,6.333650726599999,7.5003632297000005,5599089764.8863,EU,0.15555413349583436,1.1667125031000012
MLT,Malta,2000,7.2563101714,8.0785230078,6701061697.46334,EU,0.10177761895412492,0.8222128363999994
MLT,Malta,2001,8.0844432047,8.150503711199999,6650321051.9369,EU,0.008105082684549004,0.0660605064999995
MLT,Malta,2002,7.8261823587,7.8292876223,6832615339.53483,EU,3.9662147436703263e-4,0.0031052636000001854
MLT,Malta,2003,8.1470433716,8.850046221200001,7084965036.70896,EU,0.07943493536971366,0.7030028496000007
MLT,Malta,2004,8.564920779,8.9416932264,7113825958.52369,EU,0.04213658843580034,0.3767724474000005
MLT,Malta,2005,9.463243130899999,9.4346400909,7318792018.88191,EU,-0.003031704413143101,-0.02860303999999836
MLT,Malta,2006,9.053356916999999,9.3648260661,7489772865.91576,EU,0.033259469732972044,0.31146914910000056
MLT,Malta,2007,9.1949704082,9.6742500966,7866987912.46552,EU,0.04954179224376701,0.4792796884000001
MLT,Malta,2008,9.4010267969,9.3166259309,8213969014.31483,EU,-0.009059166550850888,-0.0844008659999993
MLT,Malta,2009,7.6040331061,7.5128434529999994,8099363633.43337,EU,-0.012137834851807968,-0.09118965310000071
MLT,Malta,2010,7.7207824848,10.2216590803,8601309578.86681,EU,0.24466444985627528,2.5008765955000003
MLT,Malta,2011,9.2581670831,8.9310458181,8686651936.95873,EU,-0.036627431060430135,-0.3271212650000006
MLT,Malta,2012,9.339418139000001,8.500015677999999,9042950074.18784,EU,-0.09875304855878908,-0.8394024610000024
MLT,Malta,2013,8.8424874005,8.934303641100001,9611962674.48564,EU,0.010276821147831204,0.09181624060000182
MLT,Malta,2014,8.6523555575,7.6046578649,10345486496.085,EU,-0.1377705231731391,-1.0476976926
MLT,Malta,2015,8.7174320109,8.3241923652,11340795042.0881,EU,-0.04724057643645666,-0.3932396456999996
MLT,Malta,2016,7.991811008,7.069633743700001,11803273067.5598,EU,-0.13044201407488526,-0.9221772642999992
MLT,Malta,2017,11.4422756164,8.198259792,13334316042.9201,EU,-0.3956956606285599,-3.2440158244
MLT,Malta,2018,11.5112317517,9.275978455199999,14292948664.8282,EU,-0.24097223891749622,-2.2352532965000016
MLT,Malta,2019,12.6900739446,9.4142586604,14876823596.3021,EU,-0.34796316973734126,-3.2758152842
MLT,Malta,2020,12.3143827947,9.6086887176,14362489738.4331,EU,-0.2815882745940189,-2.7056940771000004
MLT,Malta,2021,12.9571953673,10.3719342987,16288744391.3981,EU,-0.2492554420561682,-2.5852610686000013
MLT,Malta,2022,13.4229764006,10.5172137775,16693210193.3434,EU,-0.276286351554101,-2.9057626230999993
MLT,Malta,2023,13.8480489529,10.9489859714,18466282602.6508,EU,-0.26477913014709137,-2.8990629814999984
MLT,Malta,2024,14.2768858998,11.2892703266,19721971907.7513,EU,-0.26464204388484885,-2.9876155731999994
NLD,Netherlands,1994,223.03140620230002,388.47672912900003,508471242744.716,EU,0.42588219710777375,165.44532292670002
NLD,Netherlands,1995,220.3817617173,405.70755877740004,524315389158.098,EU,0.4567965103203387,185.32579706010003
NLD,Netherlands,1996,212.8788658502,396.80585846350004,542250002539.882,EU,0.4635188435107706,183.92699261330006
NLD,Netherlands,1997,220.4424716907,397.8317098446,565287382969.544,EU,0.44589014340559063,177.38923815390004
NLD,Netherlands,1998,209.4314094765,399.3107381387,591560723040.107,EU,0.47551771221400435,189.8793286622
NLD,Netherlands,1999,285.7041967559,475.5528237826,621395031368.011,EU,0.3992166958795932,189.8486270267
NLD,Netherlands,2000,282.1442928866,457.73903141100004,647616371669.345,EU,0.38361320856366954,175.59473852440004
NLD,Netherlands,2001,241.1976290607,456.8339485276,662664228363.74,EU,0.4720234128000059,215.6363194669
NLD,Netherlands,2002,227.6224722526,451.88224384759997,664292962005.237,EU,0.4962792290432039,224.25977159499996
NLD,Netherlands,2003,216.52054607350001,476.51053964609997,664942855515.362,EU,0.5456122623556073,259.98999357259993
NLD,Netherlands,2004,207.009222908,478.3575945288,678350164553.838,EU,0.5672500546125712,271.3483716208
NLD,Netherlands,2005,177.67343963119998,472.5988121938,692147558366.871,EU,0.6240501773450482,294.9253725626
NLD,Netherlands,2006,240.8440395639,496.5945981968,716631413729.704,EU,0.5150087406539736,255.7505586329
NLD,Netherlands,2007,233.04768821279998,534.0301216763,744474740255.869,EU,0.5636057241841111,300.98243346350006
NLD,Netherlands,2008,257.2760451392,526.4209991457,760233900200.237,EU,0.5112732099275688,269.1449540065
NLD,Netherlands,2009,212.5020753033,463.0215632982,732369119343.411,EU,0.541053609275553,250.51948799490003
NLD,Netherlands,2010,229.1194436715,459.45548022329996,742031413974.447,EU,0.5013239507772426,230.33603655179996
NLD,Netherlands,2011,229.8319626869,488.8593073239,755190192159.834,EU,0.5298607201629448,259.027344637
NLD,Netherlands,2012,208.5038062976,452.6704109316,747805361887.684,EU,0.5393915721849432,244.16660463399998
NLD,Netherlands,2013,193.3301384979,464.9785092351,747579281182.565,EU,0.5842170451792871,271.64837073719997
NLD,Netherlands,2014,208.78148005109998,453.6496509876,759634819525.581,EU,0.5397737447905437,244.86817093650004
NLD,Netherlands,2015,215.7667207956,459.8891737687,775743675302.734,EU,0.5308288755148663,244.1224529731
NLD,Netherlands,2016,188.35318586160002,448.67020858539996,794549918521.022,EU,0.5801968076831897,260.31702272379994
NLD,Netherlands,2017,179.7893388255,463.5547286562,816650691531.918,EU,0.6121507823969528,283.7653898307
NLD,Netherlands,2018,187.77317631900002,516.2737841095,835096710412.613,EU,0.6362914753789358,328.50060779049994
NLD,Netherlands,2019,200.1200837825,525.4773852924,854304699526.719,EU,0.6191651831578938,325.35730150989997
NLD,Netherlands,2020,197.401817937,537.6012531217001,821260592382.701,EU,0.6328099743243847,340.19943518470006
NLD,Netherlands,2021,197.5256310957,556.8210388283,872809729132.839,EU,0.6452619112392977,359.2954077326
NLD,Netherlands,2022,205.73590418830003,557.6003275918999,916513359459.671,EU,0.6310333871631523,351.8644234035999
NLD,Netherlands,2023,212.71896547260002,575.2820058412,911031728184.777,EU,0.630235322306746,362.56304036859996
NLD,Netherlands,2024,219.74284387950001,588.1700713738,920880034447.75,EU,0.6263957406635083,368.42722749430004
POL,Poland,1994,518.281860639,456.35594414310003,202823584825.574,EU,-0.13569652656147235,-61.92591649589997
POL,Poland,1995,534.5056410599,470.69027728640003,218906804615.997,EU,-0.13557824933500873,-63.81536377349994
POL,Poland,1996,563.5895698617,511.58717639459996,232246717071.23,EU,-0.10164913404121245,-52.00239346710009
POL,Poland,1997,571.5942854689,511.8470289869,247015068311.447,EU,-0.11672873553697849,-59.74725648200001
POL,Poland,1998,566.3520089527,510.7140185072,258431144714.153,EU,-0.10894157675195197,-55.63799044549995
POL,Poland,1999,551.3182381923,519.6006580486,270575301764.16,EU,-0.06104222474008737,-31.717580143699934
POL,Poland,2000,556.452899416,516.1893570507,283174187558.032,EU,-0.07800149657356337,-40.263542365300054
POL,Poland,2001,522.5093521328,483.1685234803,286667833930.23,EU,-0.08142258185430833,-39.34082865250002
POL,Poland,2002,527.6967692873,478.8959090679,292117946677.278,EU,-0.1019028546608043,-48.800860219399965
